x,y
0.0,0.0
0.1,0.09933466539753062
0.2,0.19470917115432523
0.3,0.28232123669751763
0.4,0.3586780454497614
0.5,0.42073549240394825
0.6,0.4660195429836132
0.7,0.4927248649942301
0.8,0.49978680152075255
0.9,0.4869238154390976
1.0,0.4546487134128409
1.1,0.40424820190979505
1.2,0.3377315902755755
1.3,0.2577506859107321
1.4,0.16749407507795255
1.5,0.0705600040299336
1.6,-0.029187071713790043
1.7,-0.1277705510134156
1.8,-0.22126022164742623
1.9,-0.30592894547135946
2.0,-0.37840124765396416
2.1,-0.4357878862067941
2.2,-0.475801036944758
2.3,-0.49684550181673215
2.4,-0.49808230441792034
2.5,-0.47946213733156917
2.6,-0.4417273278600766
2.7,-0.3863822437779936
2.8,-0.3156333189361608
2.9,-0.2323010897068787
3.0,-0.13970774909946293
3.1,-0.0415447014087482
3.2,0.058274602425246826
3.3,0.15577068175668893
3.4,0.24705667556930408
3.5,0.32849329935939453
3.6,0.3968339319245766
3.7,0.44935404790581346
3.8,0.48395983601574316
3.9,0.4992716726873025
4.0,0.4946791233116909
4.1,0.4703652783398865
4.2,0.42729945404414027
4.3,0.36719854893705667
4.4,0.29245859644588085
4.5,0.20605924262087827
4.6,0.11144495705012382
4.7,0.012387712726678882
4.8,-0.08716339061148982
4.9,-0.18323956462596422
5.0,-0.2720105554446849
5.1,-0.34993734379677116
5.2,-0.4139132345428268
5.3,-0.4613877108064033
5.4,-0.49046811503324583
5.5,-0.49999510327535174
5.6,-0.4895888645756587
5.7,-0.4596642628323378
5.8,-0.41141429748435443
5.9,-0.3467625423885612
6.0,-0.26828645900021747
6.1,-0.17911464111841433
6.2,-0.08280208772415469
6.3,0.016811523610568348
6.4,0.11575491255076947
6.5,0.21008351841332046
6.6,0.2960367573536115
6.7,0.3701879449762243
6.8,0.4295809074282479
6.9,0.47184783472205244
7.0,0.4953036778474351
7.1,0.4990133263581809
7.2,0.4828288882746387
7.3,0.44739558607025204
7.4,0.39412603368765814
7.5,0.32514392007855847
7.6,0.2431993444268998
7.7,0.15155917837285113
7.8,0.053876826149722036
7.9,-0.04595342511384082
8.0,-0.14395165833253265
8.1,-0.23621099319923305
8.2,-0.3190533411739737
8.3,-0.3891760392671492
8.4,-0.4437835167907523
8.5,-0.4806987459397784
8.6,-0.49845003302079804
8.7,-0.4963296902353166
8.8,-0.47442224895906204
8.9,-0.43360108974279066
9.0,-0.375493623385838
9.1,-0.30241641120314205
9.2,-0.21728281103594835
9.3,-0.12348683086831044
9.4,-0.02476782043918371
9.5,0.07493860483147616
9.6,0.1716574644099477
9.7,0.2615328825788482
9.8,0.34098181003406774
9.9,0.4068368687535527
10.0,0.4564726253638138
